,name,company,year,Price,kms_driven,fuel_type
0,JeepCL550,Mahindra,2006,425000,40,Diesel
1,Grandi10,Hyundai,2014,325000,28000,Petrol
2,EcoSportTitanium,Ford,2014,575000,36000,Diesel
3,Figo,Ford,2012,175000,41000,Diesel
4,Eon,Hyundai,2013,190000,25000,Petrol
5,EcoSportAmbiente,Ford,2016,830000,24530,Diesel
6,SuzukiAlto,Maruti,2015,250000,60000,Petrol
7,FabiaClassic,Skoda,2010,182000,60000,Petrol
8,SuzukiStingray,Maruti,2015,315000,30000,Petrol
9,Elitei20,Hyundai,2014,415000,32000,Petrol
10,ScorpioSLE,Mahindra,2015,320000,48660,Diesel
11,A8,Audi,2017,1000000,4000,Petrol
12,Q7,Audi,2014,500000,16934,Diesel
13,ScorpioS10,Mahindra,2016,350000,43000,Diesel
14,SuzukiAlto,Maruti,2014,160000,35550,Petrol
15,ScorpioS10,Mahindra,2016,310000,39522,Diesel
16,i20Sportz,Hyundai,2012,100000,55000,Petrol
17,SuzukiAlto,Maruti,2017,190000,72000,Petrol
18,SuzukiVitara,Maruti,2016,290000,15975,Diesel
19,BoleroDI,Mahindra,2017,180000,23452,Diesel
20,SuzukiSwift,Maruti,2014,385000,35522,Diesel
21,ScorpioS10,Mahindra,2015,250000,48508,Diesel
22,SuzukiSwift,Maruti,2017,180000,15487,Petrol
23,SuzukiWagon,Maruti,2013,105000,39000,Petrol
24,Innova2.0,Toyota,2012,650000,82000,Diesel
25,Lodgy85,Renault,2018,689999,20000,Diesel
26,YetiAmbition,Skoda,2012,448000,68000,Diesel
27,SuzukiBaleno,Maruti,2017,549000,32000,Diesel
28,Duster110,Renault,2012,501000,38000,Diesel
29,Duster85,Renault,2013,489999,27000,Diesel
30,City1.5,Honda,2011,280000,33000,Petrol
31,SuzukiDzire,Maruti,2013,349999,46000,Diesel
32,Amaze,Honda,2013,284999,46000,Diesel
33,Amaze1.5,Honda,2015,345000,36000,Diesel
34,City,Honda,2015,499999,55000,Petrol
35,RediGO,Datsun,2017,235000,16000,Petrol
36,SuzukiSX4,Maruti,2010,249999,36000,Petrol
37,PajeroSport,Mitsubishi,2015,1475000,47000,Diesel
38,ScorpioS10,Mahindra,2015,395000,35000,Diesel
39,SuzukiSwift,Maruti,2017,220000,30874,Petrol
40,CityZX,Honda,2017,170000,15000,Diesel
41,IndigoeCS,Tata,2017,200000,130000,Diesel
42,ScorpioSLE,Mahindra,2012,570000,19000,Diesel
43,PoloHighline,Volkswagen,2014,315000,60000,Petrol
44,SparkLS,Chevrolet,2010,110000,41000,Petrol
45,Duster110PS,Renault,2012,501000,35000,Diesel
46,City,Honda,2015,448999,54000,Petrol
47,CooperS,Mini,2013,1891111,13000,Petrol
48,Fabia1.2L,Skoda,2011,159500,38200,Diesel
49,Amaze,Honda,2015,344999,22000,Petrol
50,Duster,Renault,2014,449999,50000,Diesel
51,CooperS,Mini,2013,1891111,13500,Petrol
52,ScorpioS4,Mahindra,2015,865000,30000,Diesel
53,ScorpioVLX,Mahindra,2014,699000,50000,Diesel
54,QuantoC8,Mahindra,2013,375000,20000,Diesel
55,EcoSport,Ford,2017,489999,39000,Petrol
56,Brio,Honda,2012,224999,30000,Petrol
57,VentoHighline,Volkswagen,2019,1200000,3600,Diesel
58,i20Magna,Hyundai,2009,195000,32000,Petrol
59,CorollaAltis,Toyota,2010,351000,38000,Diesel
60,VernaTransform,Hyundai,2008,160000,45000,Petrol
61,CorollaAltis,Toyota,2009,240000,35000,Petrol
62,Fabia1.2L,Skoda,2011,155000,45863,Diesel
63,3Series,BMW,2011,600000,60500,Petrol
64,SuzukiA,Maruti,2011,189500,12500,Petrol
65,EtiosGD,Toyota,2013,350000,60000,Diesel
66,FigoDiesel,Ford,2012,210000,35000,Diesel
67,SuzukiSwift,Maruti,2014,390000,35000,Petrol
68,BeatLT,Chevrolet,2012,135000,45000,Diesel
69,7Series,BMW,2009,1600000,35000,Petrol
70,XUV500W8,Mahindra,2013,701000,38000,Diesel
71,i10Magna,Hyundai,2014,265000,18000,Petrol
72,VernaFluidic,Hyundai,2015,525000,35000,Diesel
73,SuzukiSwift,Maruti,2013,372000,13349,Petrol
74,SuzukiErtiga,Maruti,2016,635000,29000,Petrol
75,EcoSportTitanium,Ford,2014,550000,44000,Diesel
76,SuzukiErtiga,Maruti,2016,575000,29000,Petrol
77,SuzukiErtiga,Maruti,2013,485000,42000,Diesel
78,SuzukiAlto,Maruti,2012,155000,14000,Petrol
79,Grandi10,Hyundai,2014,345000,49000,Diesel
80,Amaze1.2,Honda,2014,325000,42000,Petrol
81,i20Asta,Hyundai,2012,329500,36200,Diesel
82,FigoDiesel,Ford,2014,195000,50000,Diesel
83,SuzukiEeco,Maruti,2015,251111,55000,Petrol
84,SuzukiErtiga,Maruti,2014,569999,45000,Petrol
85,SuzukiRitz,Maruti,2014,299999,19000,Petrol
86,SuzukiDzire,Maruti,2009,220000,46000,Petrol
87,SuzukiRitz,Maruti,2013,399999,33000,Diesel
88,SuzukiDzire,Maruti,2015,450000,104000,Diesel
89,EtiosLiva,Toyota,2014,270000,55000,Petrol
90,i20Sportz,Hyundai,2011,350000,33333,Diesel
91,Spark,Chevrolet,2012,158400,33600,Petrol
92,SuzukiAlto,Maruti,2017,350000,5600,Petrol
93,MicraXV,Nissan,2011,179000,41000,Petrol
94,SuzukiSwift,Maruti,2007,125000,70000,Petrol
95,SuzukiAlto,Maruti,2018,200000,7500,Petrol
96,Amaze1.5,Honda,2013,299000,45000,Diesel
97,SuzukiAlto,Maruti,2015,220000,38000,Petrol
98,Beat,Chevrolet,2015,150000,30000,Petrol
99,City1.5,Honda,2010,285000,35000,Petrol
100,EcoSportTrend,Ford,2016,830000,24330,Diesel
101,i20Asta,Hyundai,2009,210000,65480,Petrol
102,SuzukiSwift,Maruti,2013,340000,41000,Petrol
103,CorollaAltis,Toyota,2010,289999,70000,Petrol
104,CorollaAltis,Toyota,2012,349999,59000,Petrol
105,Innova2.5,Toyota,2012,849999,99000,Diesel
106,JettaHighline,Volkswagen,2014,749999,46000,Diesel
